nodeID nodeLabel nodeSymbol
302 108446 EZH2
303 111898 REL
304 111523 PPP4C
305 108609 FLT1
306 112361 SHC1
307 111030 OPRD1
308 115086 GPRASP1
309 110725 MYO1C
310 111173 PDE6D
311 106881 RHOB
312 106880 RHOA
313 111113 PAX5
314 112946 TLE4
315 111117 PAX9
316 114478 KALRN
317 111101 PAM
318 119009 NRBF2
319 111461 PPARA
320 114075 PIK3R3
321 111308 PIK3CA
322 106832 APOA1
323 111162 PDE1A
324 119679 LSM8
325 111247 PGD
326 115128 SNX17
327 112303 SELP
328 111327 PKD1
329 111328 PKD2
330 113071 TRPC1
331 109942 KCNA4
332 108083 DLG1
333 111238 PFN2
334 118877 FHOD1
335 109596 HUS1
336 111751 PTPRB
337 129277 MAGI3
338 111559 PRKAR1A
339 111561 PRKAR1B
340 113818 AKAP1
341 108532 FER
342 112965 TMF1
343 111580 MAPK1
344 110826 NEK2
345 116587 HABP4
346 115671 GNB2L1
347 114019 NSMAF
348 106862 AR
349 109895 ITGB2
350 111196 PDPK1
351 111576 PRKCZ
352 116884 WWC1
353 110269 MAF
354 106891 ARHGDIG
355 106884 RHOG
356 117140 CD2AP
357 111805 RAB4A
358 114583 RABEP1
359 111806 RAB5A
360 122974 RIN3
361 111807 RAB5B
362 111841 RAP1A
363 107330 KRIT1
364 111801 RGL2
365 111843 RAP1B
366 111847 RAP2B
367 127206 EXOC8
368 111834 RALA
369 107142 BRCA2
370 111825 RAD51
371 115879 RAD51AP1
372 116316 DMC1
373 117927 HBP1
374 115435 TRAP1
375 117743 AATF
376 115305 THOC1
377 111869 RBL2
378 112168 RXRA
379 116108 BRD8
380 106783 ANK1
381 111937 RHAG
382 110191 LMO2
383 111862 KDM5A
384 112749 TAL1
385 117490 UPF2
386 112144 RPS25
387 112095 RPLP1
388 112096 RPLP2
389 114688 CYTH1
390 115442 ARFRP1
391 114452 TOP3B
392 112512 SNRPB
393 112510 SNRPA
394 111200 PDZK1
395 112440 SLC9A3
396 112456 SLC17A1
397 123847 OBSCN
398 112545 SOX9
399 108792 NR5A1
400 113843 NRIP1
401 107603 CLU
402 112906 TGFBR2
403 115759 UNC13B
404 112676 STX1A
405 107377 CD27
406 115823 SIVA1
407 108570 FKBP1A
408 112904 TGFBR1
409 113360 YY1
410 108576 FKBP2
411 115816 ARFGEF1
412 120239 NCAPG2
413 110731 MYO7A
414 116385 AKAP10
415 114127 TCAP
416 106819 APBB1
